ProductID,ProductType,UnitPrice
SKU-1000,cosmetics,80.6
SKU-1001,haircare,35.68
SKU-1002,cosmetics,11.07
SKU-1003,cosmetics,93.37
SKU-1004,haircare,40.45
SKU-1005,haircare,52.17
SKU-1006,cosmetics,83.35
SKU-1007,skincare,67.56
SKU-1008,cosmetics,73.36
SKU-1009,cosmetics,22.08
SKU-1010,cosmetics,54.48
SKU-1011,cosmetics,69.52
SKU-1012,haircare,23.98
SKU-1013,cosmetics,18.75
SKU-1014,skincare,97.43
SKU-1015,haircare,52.06
SKU-1016,skincare,27.12
SKU-1017,skincare,98.81
SKU-1018,skincare,95.8
SKU-1019,skincare,56.12
SKU-1020,haircare,87.73
SKU-1021,haircare,20.09
SKU-1022,skincare,28.88
SKU-1023,skincare,69.96
SKU-1024,haircare,84.23
SKU-1025,haircare,85.17
SKU-1026,haircare,41.13
SKU-1027,cosmetics,88.23
SKU-1028,cosmetics,84.64
SKU-1029,cosmetics,92.9
SKU-1030,skincare,78.25
SKU-1031,cosmetics,66.91
SKU-1032,skincare,58.3
SKU-1033,skincare,37.99
SKU-1034,cosmetics,93.34
SKU-1035,skincare,96.6
SKU-1036,cosmetics,29.37
SKU-1037,cosmetics,31.46
SKU-1038,haircare,49.03
SKU-1039,cosmetics,45.41
SKU-1040,haircare,98.63
SKU-1041,cosmetics,18.85
SKU-1042,cosmetics,3.46
SKU-1043,haircare,49.84
SKU-1044,haircare,19.13
SKU-1045,cosmetics,37.42
SKU-1046,skincare,74.24
SKU-1047,haircare,71.97
SKU-1048,skincare,31.73
SKU-1049,skincare,54.58
SKU-1050,skincare,51.29
SKU-1051,haircare,63.72
SKU-1052,skincare,26.11
SKU-1053,haircare,59.2
SKU-1054,skincare,97.11
SKU-1055,cosmetics,49.14
SKU-1056,cosmetics,90.02
SKU-1057,haircare,44.04
SKU-1058,cosmetics,35.82
SKU-1059,cosmetics,64.58
SKU-1060,skincare,66.9
SKU-1061,haircare,85.93
SKU-1062,skincare,24.14
SKU-1063,skincare,50.36
SKU-1064,skincare,57.45
SKU-1065,skincare,76.61
SKU-1066,skincare,5.95
SKU-1067,skincare,98.64
SKU-1068,skincare,47.51
SKU-1069,haircare,28.95
SKU-1070,cosmetics,87.82
SKU-1071,skincare,74.58
SKU-1072,skincare,94.6
SKU-1073,skincare,33.94
SKU-1074,skincare,55.58
SKU-1075,skincare,57.48
SKU-1076,skincare,97.25
SKU-1077,cosmetics,9.04
SKU-1078,cosmetics,31.5
SKU-1079,skincare,20.31
SKU-1080,cosmetics,27.87
SKU-1081,haircare,49.0
SKU-1082,skincare,38.03
SKU-1083,haircare,40.17
SKU-1084,haircare,83.99
SKU-1085,skincare,92.35
SKU-1086,cosmetics,8.56
SKU-1087,haircare,22.06
SKU-1088,skincare,67.12
SKU-1089,haircare,36.66
SKU-1090,haircare,26.47
SKU-1091,haircare,30.48
SKU-1092,haircare,33.14
SKU-1093,cosmetics,84.42
SKU-1094,haircare,15.02
SKU-1095,haircare,70.8
SKU-1096,haircare,55.58
SKU-1097,cosmetics,30.6
SKU-1098,haircare,42.62
SKU-1099,haircare,26.67
SKU-1100,cosmetics,61.31
SKU-1101,cosmetics,9.65
SKU-1102,cosmetics,2.21
SKU-1103,haircare,62.9
SKU-1104,cosmetics,20.64
SKU-1105,cosmetics,8.61
SKU-1106,haircare,40.38
SKU-1107,cosmetics,6.65
SKU-1108,haircare,88.12
SKU-1109,skincare,4.39
SKU-1110,cosmetics,58.12
SKU-1111,skincare,44.44
SKU-1112,haircare,67.2
SKU-1113,cosmetics,33.69
SKU-1114,haircare,16.81
SKU-1115,skincare,97.4
SKU-1116,haircare,83.47
SKU-1117,cosmetics,85.56
SKU-1118,cosmetics,26.09
SKU-1119,skincare,5.49
SKU-1120,haircare,31.26
SKU-1121,cosmetics,54.05
SKU-1122,skincare,33.54
SKU-1123,cosmetics,82.39
SKU-1124,cosmetics,28.17
SKU-1125,haircare,95.78
SKU-1126,cosmetics,46.27
SKU-1127,haircare,83.77
SKU-1128,cosmetics,20.65
SKU-1129,skincare,41.8
SKU-1130,cosmetics,69.88
SKU-1131,haircare,15.19
SKU-1132,haircare,14.64
SKU-1133,skincare,96.2
SKU-1134,cosmetics,71.35
SKU-1135,cosmetics,5.7
SKU-1136,skincare,40.57
SKU-1137,cosmetics,43.96
SKU-1138,cosmetics,74.22
SKU-1139,haircare,26.15
SKU-1140,cosmetics,19.67
SKU-1141,cosmetics,9.58
SKU-1142,skincare,43.45
SKU-1143,skincare,68.81
SKU-1144,haircare,7.37
SKU-1145,cosmetics,90.91
SKU-1146,cosmetics,44.82
SKU-1147,cosmetics,25.07
SKU-1148,haircare,10.85
SKU-1149,haircare,19.52
SKU-1150,skincare,92.8
SKU-1151,haircare,63.91
SKU-1152,cosmetics,52.06
SKU-1153,cosmetics,65.75
SKU-1154,haircare,44.17
SKU-1155,cosmetics,72.86
SKU-1156,cosmetics,6.35
SKU-1157,haircare,56.87
SKU-1158,haircare,17.16
SKU-1159,cosmetics,13.41
SKU-1160,cosmetics,35.02
SKU-1161,cosmetics,10.65
SKU-1162,skincare,10.88
SKU-1163,skincare,32.05
SKU-1164,skincare,97.17
SKU-1165,haircare,18.79
SKU-1166,skincare,3.37
SKU-1167,haircare,76.11
SKU-1168,haircare,80.35
SKU-1169,skincare,35.45
SKU-1170,skincare,46.99
SKU-1171,skincare,65.03
SKU-1172,cosmetics,6.38
SKU-1173,skincare,94.21
SKU-1174,cosmetics,88.13
SKU-1175,haircare,27.13
SKU-1176,cosmetics,3.19
SKU-1177,skincare,92.68
SKU-1178,haircare,50.54
SKU-1179,haircare,54.27
SKU-1180,haircare,68.37
SKU-1181,cosmetics,61.73
SKU-1182,skincare,93.7
SKU-1183,haircare,93.74
SKU-1184,haircare,86.23
SKU-1185,haircare,63.73
SKU-1186,cosmetics,79.77
SKU-1187,cosmetics,67.7
SKU-1188,skincare,57.59
SKU-1189,cosmetics,14.23
SKU-1190,haircare,80.77
SKU-1191,skincare,81.69
SKU-1192,haircare,62.71
SKU-1193,haircare,81.67
SKU-1194,cosmetics,65.2
SKU-1195,skincare,21.85
SKU-1196,cosmetics,28.4
SKU-1197,cosmetics,22.62
SKU-1198,skincare,38.47
SKU-1199,haircare,5.5
SKU-1200,haircare,61.96
SKU-1201,skincare,34.5
SKU-1202,haircare,65.61
SKU-1203,skincare,39.27
SKU-1204,skincare,68.14
SKU-1205,cosmetics,34.9
SKU-1206,skincare,27.11
SKU-1207,cosmetics,50.05
SKU-1208,haircare,69.24
SKU-1209,haircare,35.65
SKU-1210,haircare,93.0
SKU-1211,haircare,5.52
SKU-1212,cosmetics,42.44
SKU-1213,haircare,96.01
SKU-1214,skincare,55.11
SKU-1215,skincare,42.98
SKU-1216,skincare,57.11
SKU-1217,cosmetics,57.84
SKU-1218,haircare,73.01
SKU-1219,haircare,14.15
SKU-1220,haircare,26.07
SKU-1221,cosmetics,58.29
SKU-1222,skincare,86.22
SKU-1223,skincare,56.47
SKU-1224,haircare,24.96
SKU-1225,skincare,67.97
SKU-1226,skincare,73.82
SKU-1227,cosmetics,24.92
SKU-1228,cosmetics,38.52
SKU-1229,cosmetics,53.78
SKU-1230,cosmetics,50.1
SKU-1231,haircare,39.68
SKU-1232,cosmetics,30.71
SKU-1233,skincare,11.45
SKU-1234,haircare,6.91
SKU-1235,skincare,95.13
SKU-1236,skincare,84.27
SKU-1237,skincare,36.29
SKU-1238,cosmetics,94.96
SKU-1239,cosmetics,67.67
SKU-1240,haircare,48.73
SKU-1241,haircare,49.76
SKU-1242,cosmetics,9.82
SKU-1243,skincare,10.64
SKU-1244,haircare,60.42
SKU-1245,cosmetics,55.67
SKU-1246,cosmetics,22.43
SKU-1247,cosmetics,93.93
SKU-1248,skincare,77.85
SKU-1249,cosmetics,12.76
