TransactionID,DateID,ProductID,SupplierID,LocationID,LogisticsID,QualityID,CustomerID,Availability,ProductsSold,RevenueGenerated,StockLevels,OrderQuantity,SupplierLeadTime,ShippingTime,ShippingCost,SupplyLeadTime,ProductionVolume,ManufacturingLeadTime,ManufacturingCost,DefectRate,TransportationCost
TRX-000001,20260310,SKU-1041,SUP-030,LOC-014,LOG-019,QLT-01,CUST-0001,1,108,1856.79,617,142,10,2,162.44,14,1047,18,1266.17,5.25,319.47
TRX-000002,20240526,SKU-1117,SUP-026,LOC-030,LOG-002,QLT-01,CUST-0184,0,317,30271.88,454,330,23,1,347.47,25,2731,10,15378.49,6.19,1020.33
TRX-000003,20250605,SKU-1124,SUP-020,LOC-027,LOG-017,QLT-01,CUST-0251,1,569,14150.77,368,567,17,3,1847.96,20,4974,12,9727.56,17.27,408.96
TRX-000004,20250718,SKU-1166,SUP-038,LOC-009,LOG-093,QLT-01,CUST-0215,1,372,1328.85,2470,507,27,1,1213.01,31,2709,19,1089.73,10.48,1244.89
TRX-000005,20230703,SKU-1168,SUP-019,LOC-015,LOG-002,QLT-01,CUST-0077,1,546,43961.71,1815,537,18,6,1385.65,28,3151,8,15683.39,0.79,528.49
TRX-000006,20260509,SKU-1240,SUP-027,LOC-003,LOG-053,QLT-01,CUST-0043,1,664,36832.78,1499,871,8,9,2226.81,19,3371,19,22398.87,19.49,787.58
TRX-000007,20231212,SKU-1202,SUP-025,LOC-030,LOG-016,QLT-01,CUST-0412,1,659,42989.83,1326,895,26,12,2136.22,43,1268,5,32727.67,11.0,2541.51
TRX-000008,20251119,SKU-1230,SUP-040,LOC-027,LOG-010,QLT-01,CUST-0157,1,362,15788.09,1866,456,17,3,274.03,27,1986,3,9483.68,4.8,947.34
TRX-000009,20250403,SKU-1023,SUP-038,LOC-004,LOG-068,QLT-01,CUST-0018,1,240,14907.72,1535,324,10,13,600.93,27,1822,7,7853.54,0.75,1073.55
TRX-000010,20230504,SKU-1187,SUP-023,LOC-023,LOG-043,QLT-01,CUST-0343,1,877,56192.54,794,998,15,11,2461.7,30,4299,7,36991.05,3.46,3437.03
TRX-000011,20240414,SKU-1045,SUP-029,LOC-018,LOG-090,QLT-01,CUST-0220,1,818,30324.66,2135,976,27,9,3593.91,41,3581,13,15053.23,14.59,2332.55
TRX-000012,20250709,SKU-1018,SUP-015,LOC-014,LOG-058,QLT-01,CUST-0073,0,492,53608.72,2093,536,28,1,771.49,35,543,17,16740.77,14.65,851.59
TRX-000013,20231120,SKU-1067,SUP-003,LOC-015,LOG-060,QLT-03,CUST-0190,1,142,13940.91,78,152,26,2,149.82,33,3287,20,3862.07,30.18,187.85
TRX-000014,20231011,SKU-1217,SUP-010,LOC-008,LOG-024,QLT-03,CUST-0363,1,583,38070.87,96,855,6,12,2054.6,20,3891,8,19852.62,26.06,692.57
TRX-000015,20251010,SKU-1101,SUP-015,LOC-028,LOG-076,QLT-01,CUST-0262,1,321,3481.77,2270,452,17,2,714.93,24,4683,5,1434.47,3.98,830.63
TRX-000016,20260809,SKU-1041,SUP-016,LOC-010,LOG-085,QLT-01,CUST-0144,1,150,2546.5,1338,156,21,9,453.01,36,1960,7,1498.44,20.0,280.21
TRX-000017,20250421,SKU-1031,SUP-017,LOC-024,LOG-016,QLT-01,CUST-0485,1,293,22070.59,2101,434,24,5,1103.41,29,638,18,16147.84,18.72,132.38
TRX-000018,20230314,SKU-1166,SUP-019,LOC-012,LOG-009,QLT-02,CUST-0129,1,254,793.11,654,279,9,2,724.54,15,4094,12,308.51,7.36,717.34
TRX-000019,20260628,SKU-1108,SUP-011,LOC-021,LOG-006,QLT-01,CUST-0278,1,232,22509.52,104,254,25,7,635.47,38,967,18,14235.26,5.12,352.91
TRX-000020,20260224,SKU-1237,SUP-005,LOC-009,LOG-065,QLT-01,CUST-0302,1,402,16668.7,2044,426,29,5,1663.39,36,1264,7,5053.7,8.37,1283.38
TRX-000021,20250615,SKU-1035,SUP-005,LOC-008,LOG-078,QLT-03,CUST-0190,1,167,14060.71,2261,227,9,7,604.54,16,314,7,8195.26,10.93,354.12
TRX-000022,20230810,SKU-1231,SUP-014,LOC-017,LOG-024,QLT-01,CUST-0151,1,104,4351.31,1260,147,24,13,344.18,43,4685,6,2382.79,4.14,483.68
TRX-000023,20231127,SKU-1228,SUP-026,LOC-009,LOG-010,QLT-01,CUST-0405,1,513,19323.57,2419,619,9,3,363.69,19,4671,18,12803.87,4.82,1583.8
TRX-000024,20230602,SKU-1096,SUP-008,LOC-013,LOG-082,QLT-02,CUST-0307,1,257,14091.82,372,386,28,8,356.86,38,3070,3,12583.13,3.43,628.46
TRX-000025,20231024,SKU-1163,SUP-005,LOC-030,LOG-073,QLT-01,CUST-0384,1,964,31440.91,1952,977,23,14,3431.79,38,4205,7,14958.51,0.92,1934.55
TRX-000026,20240803,SKU-1130,SUP-007,LOC-014,LOG-027,QLT-01,CUST-0095,1,214,16952.68,313,226,30,12,869.28,45,3553,11,4469.64,15.86,347.15
TRX-000027,20241231,SKU-1072,SUP-016,LOC-005,LOG-083,QLT-01,CUST-0038,1,661,65009.18,1385,659,11,10,415.66,22,4388,6,38145.73,1.76,1127.54
TRX-000028,20251216,SKU-1135,SUP-014,LOC-009,LOG-003,QLT-01,CUST-0156,1,532,3479.82,1340,786,24,3,691.48,28,4684,15,1602.15,11.36,367.38
TRX-000029,20251023,SKU-1096,SUP-037,LOC-025,LOG-038,QLT-01,CUST-0300,1,811,51366.72,789,797,6,4,2808.36,10,2855,16,22620.93,1.47,846.57
TRX-000030,20250622,SKU-1122,SUP-004,LOC-026,LOG-073,QLT-01,CUST-0347,0,134,4974.77,38,141,28,6,175.72,35,3884,16,2745.3,8.42,465.16
TRX-000031,20240724,SKU-1069,SUP-036,LOC-026,LOG-074,QLT-01,CUST-0423,1,687,21076.83,1699,989,11,3,710.74,15,2558,8,17048.49,9.17,2096.31
TRX-000032,20250314,SKU-1168,SUP-017,LOC-016,LOG-073,QLT-02,CUST-0426,0,207,15294.31,2101,300,16,12,1056.02,28,753,19,7799.79,4.87,100.43
TRX-000033,20241125,SKU-1230,SUP-036,LOC-019,LOG-017,QLT-02,CUST-0042,1,983,50326.48,1243,974,16,13,3130.93,31,1631,8,12261.4,3.01,3399.76
TRX-000034,20240813,SKU-1195,SUP-006,LOC-024,LOG-048,QLT-01,CUST-0316,1,460,9248.36,2391,551,30,6,1479.7,43,1705,10,7558.09,6.78,764.22
TRX-000035,20230618,SKU-1012,SUP-016,LOC-023,LOG-049,QLT-03,CUST-0126,1,426,11607.58,966,406,24,14,327.36,44,1703,3,3784.41,8.71,1347.67
TRX-000036,20260102,SKU-1048,SUP-029,LOC-007,LOG-043,QLT-01,CUST-0313,1,239,8627.26,708,265,28,2,718.0,34,3787,6,4073.1,20.88,886.75
TRX-000037,20240724,SKU-1059,SUP-036,LOC-012,LOG-084,QLT-01,CUST-0077,1,445,27294.74,2483,481,27,9,580.4,41,564,8,17747.79,7.27,956.47
TRX-000038,20260331,SKU-1129,SUP-038,LOC-026,LOG-007,QLT-01,CUST-0096,1,750,27099.96,1225,897,12,6,2919.73,19,4514,5,13921.15,16.98,1548.95
TRX-000039,20230330,SKU-1187,SUP-037,LOC-002,LOG-068,QLT-01,CUST-0263,1,631,46919.41,2144,766,23,13,2174.47,40,1682,6,33486.12,10.68,1253.22
TRX-000040,20230311,SKU-1004,SUP-010,LOC-018,LOG-074,QLT-02,CUST-0307,1,569,21994.77,1313,587,24,1,1773.54,26,1676,5,6612.49,13.84,1088.1
TRX-000041,20250402,SKU-1171,SUP-036,LOC-018,LOG-021,QLT-01,CUST-0225,0,152,9349.35,658,184,9,8,375.58,21,445,7,4797.32,16.11,415.32
TRX-000042,20250518,SKU-1026,SUP-029,LOC-016,LOG-078,QLT-01,CUST-0111,1,78,3285.09,1133,93,24,7,170.62,38,2103,5,1309.73,9.46,63.24
TRX-000043,20240903,SKU-1159,SUP-014,LOC-029,LOG-025,QLT-01,CUST-0238,0,566,6452.64,1119,703,23,9,1047.25,37,890,16,2913.85,2.64,1854.33
